program,organization,phone_number,fax_number,email,website,address,hours,contact,description,fees,application,eligibility,languages,areas_served
L L Odette Place,St Stephen's Community House,416-925-2103,416-966-2178,,,260 Augusta Ave,Mon 7:30am-5pm * Tue 7:30am-5pm * Wed 7:30am-5pm * Thu 7:30am-5pm * Fri 7:30am-5pm * Sat 7:30am-5pm * Sun 7:30am-5pm,Staff on Duty - Intake Worker,,"Yes, Rent geared to income.","Program is accessed via The Access Point. Vacancies occur as tenants move out, which is rare. Tenants are screened to determine if they meet the criteria (homeless and serious mental illness), and that they can live independently with some supports.  Tenants are referred from either The Access Point waiting list or partnership with St. Stephen's case management team.",Concurrent Disorder Clients ; Homeless Clients Only ; Men Only ; Serious Mental Illness Clients Only,English ; Portuguese ; Spanish,Toronto.
Ossington Site - Immigrant and Refugee Services Program,West Neighbourhood House,416-536-1234 ext 401,416-536-2859,janitr@westnh.org,www.westnh.org,248 Ossington Ave,Mon-Fri 9 am-5 pm,Jani Trindade - Immigrant and Refugee Services Coordinator,"Settlement services -- small ethnic-based information groups * information and referral * group settlement sessions * individual assistance with immigration, orientation and other",None,Call for appointment,"Permanent rÃ©sidents and refugee claimants including socially marginalized, homeless and non-status",English ; Spanish ; Polish ; Hungarian ; Arabic ; Portuguese ; Farsi ; Tamil ; Chinese (Cantonese) ; Dari ; Sinhala,"East York, Toronto"
Youth Criminal Law,Community Legal Education Ontario,416-408-4420,416-408-4424,info@cleo.on.ca,youth.cleo.on.ca/en,"180 Dundas St W, Ste 506",,,,Free,Visit website,Youths 12-18 years of age,English ; French,Ontario
Women's Employment Development (WED),Opportunity For Advancement,416-787-1481,416-787-1500,,,"54 Wollesley St, 2nd Fl",Mon 9am-4pm * Tue 9am-4pm * Wed 9am-4pm * Thu 9am-4pm * Fri 9am-4pm,Staff on Duty - Intake Worker,,No,Continuous programming. Call for new dates.  Clients must be receiving social assistance.,Women Only,English,Toronto.
Youth Justice Outreach Program (YJOP),Central Toronto Youth Services,416-924-2100,416-924-2930,,,300-65 Wellesley St E,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm,Staff on Duty - Intake Worker,,No,"This program is accessible to youth who are referred by their probation officer, who score in the moderate to high range on the Risk/Needs Assessment instrument, who require outreach and/or a community-based approach and who have tried or are resistant to conventional support/counselling.",Clients with Legal Issues Only ; Youth Only,English,Toronto.
Woodlawn Avenue - South Etobicoke Mental Health And Housing Supports,Ywca Toronto,,,,,80 Woodlawn Ave E,Daily 24 hours,Staff on Duty - Intake Worker,,"Yes, Rent geared to income.",Access to the program is through YWCA Toronto's 1st Stop Woodlawn Shelter or The Access Point.,Concurrent Disorder Clients ; Homeless Clients Only ; Serious Mental Illness Clients Only ; Women Only,English,Ontario.
The Raging Spoon,Working For Change,416-504-6128,416-504-4610,,,1658 Queen St W,Mon 9am-4pm * Tue 9am-4pm * Wed 9am-4pm * Thu 9am-4pm * Fri 9am-4pm,Staff on Duty - Intake Worker,,No,"Please apply in person at the Raging Spoon.  Applicants will be asked to complete a brief employment application.  If there are no positions currently available, applicants may be placed on a waiting list.",,English,Toronto.
Toronto - Queen Street - Parkdale Green Thumb Enterprises,Working For Change,416-537-9551,416-504-8063,,,203-1499 Queen St W,Mon 8am-4pm * Tue 8am-4pm * Wed 8am-4pm * Thu 8am-4pm * Fri 8am-4pm,Staff on Duty - Intake Worker,,No,Please apply in person at Parkdale Green Thumb Enterprises (PGTE).  Applicants will be asked to complete a brief employment application.  Applicants should call PGTE first to inquire if there are any positions currently available.,,English,Toronto.
"Corvetti Education Centre, Settlement Services",COSTI Immigrant Services,416-534-7400,416-534-2482,edu@costi.org,www.costi.org,"760 College St, 2nd Fl","Mon-Thu 8:30 am-8:30 pm, Fri 8:30 am-4:30 pm, Sat 10 am-1 pm",Trudy Small - Manager,"Settlement services (formerly Immigrant Settlement and Adaptation Program) * orientation * information and referral -- employment, housing, health, legal * assistance with documentation * crisis",Some fees charged for English as a Second Language (ESL) classes,Call for appointment,"Immigrants, refugees, Canadian citizens",English ; Spanish ; Arabic ; Serbian ; Urdu ; Somali ; Croatian ; Chinese (Mandarin) ; Farsi ; Chinese (Cantonese) ; Dari ; Kurdish ; Pashto ; Turkish,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
"The Meeting Place Drop-In, West Neighbourhood House",The St Christopher House,416-504-4275,416-504-8851,,,588 Queen St W,Mon 11:30am-4pm * Tue 11:30am-4pm * Wed 11:30am-4pm * Thu 11:30am-4pm * Fri 11:30am-4pm * Sat 11:30am-4pm * Sun 11:30am-4pm,Staff on Duty - Intake Worker,,No,No co-ordinated access function.  This is a drop-in program.,Homeless Clients Only,English ; French ; Polish,Toronto.
Specialty Clinics,Bridgepoint Active Healthcare - Bridgepoint Hospital,416-461-8252,416-461-5696,info@bridgepointhealth.ca,www.bridgepointhealth.ca,1 Bridgepoint Dr,Daily 24 hours,,Provides services to individuals who are currently admitted to our inpatients program,Most fees covered through OHIP,Medical referral required,,English,Toronto
Breaking The Cycle,Opportunity For Advancement,416-787-1481,416-787-1500,,,"54 Wollesley St, 2nd Fl",Daily 24 hours,Staff on Duty - Intake Worker,,No,Contact intake.,Women Only,English,Toronto.
Community Matters Toronto,,416-944-9697,,communitymatters@communitymatterstoronto.org,www.communitymatterstoronto.org,"260 Wellesley St E, Ste 102",Mon-Fri 10 am-5 pm,,Community development programs for all ages * computer access and training * conversational English * information and referral,Most programs free * nominal fees for swimming and first aid training,"Call, drop in or email",Residents of St James Town and surrounding community,English ; French ; Spanish ; Arabic ; Urdu ; Somali ; Hindi ; Interpretive Services ; Chinese (Mandarin) ; Farsi ; Tamil ; Chinese (Cantonese) ; Nepali,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Recreational Respite,,,905-813-0336,info@recrespite.com,www.recrespite.com,PO Box 716,Daily 24 hours,Petrina Andonova - Community Relations Manager,,Set hourly fee * funding may be available through government programs or extended health care benefits,Call or email,"People over the age of 2 with cognitive, intellectual, physical, developmental or mental health challenges",English,Ontario
Newcomer Services,Centre francophone de Toronto,416-922-2672 ext 420,416-922-5086,,www.centrefranco.org/en/newcomers/,"555 Richmond St W, 3rd Fl","Mon-Tue 8:30-4:30, Wed 8:30-7, Thu-Fri 8:30-4:30",Ngalula Kalunda - Settlement Services Director,Integration and Settlement Program -- services to enable immigrants and refugees to,,Call for appointment * drop in for emergency service,French-speaking people living in Toronto,French ; French - Designated Agency under the French Language Services Act,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Settlement.Org,,,,,www.settlement.org,,,,,Free,Visit Website,,English ; French,Ontario
CultureLink Settlement and Community Services,,416-588-6288,416-588-2435,reception@culturelink.ca,www.culturelink.ca,The Crossways Mall,"Mon-Fri 9 am-5 pm * some evening programs, including Community Connections Mentorship Program orientation and training",Claudia Rivera - Executive Assistant,"Settlement services including orientation, counselling and support (formerly Immigrant Settlement and Adaptation Program)",,Call for appointment,"New immigrants and refugees, including Roma community * Sankofa, Newcomer Youth Services -- youth 14-29 years * Community Connections Mentorship Program -- newcomers 19 years or older, requires immigration papers or Permanent Resident card",English ; Italian ; Spanish ; Polish ; Hungarian ; Arabic ; Punjabi ; Portuguese ; Russian ; Urdu ; Somali ; Bengali ; Hindi ; Filipino ; Chinese (Mandarin) ; Farsi ; Tamil ; West Indian dialects ; Afrikaans ; Bhojpuri ; Chinese (Cantonese) ; Czech ; Pashto ; Sinhala ; Slovak ; Tibetan,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Toronto Reference Library,Toronto Public Library,416-395-5577 ; Answerline 416-393-7131,416-393-7147,,www.torontopubliclibrary.ca,789 Yonge St,"Mon-Fri 9:30 am-8:30 pm, Sat 9 am-5 pm * Sept-June Sun 1:30 pm-5 pm",,"Adult reference and research library with materials in over 80 languages * access to computers, Internet, printers",,,Open to all,English ; French ; Interpretive Services,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
World Education Services,,416-972-0070,416-972-9004,,www.wes.org/ca,"2 Carlton St, Ste 1400",Customer Service -- Mon-Fri 9 am-2 pm * ,,Verification and evaluation of academic credentials earned outside Canada * international degree preview -- self directed web-based service,Standard fees for 7 day service -- $115 for basic (document by document) evaluation of all credentials * detailed (course by course assessment) evaluation -- $210 * international degree preview -- free,Online application -- visit website * print application -- download and print from website,"Internationally educated/trained persons applying for jobs, apprenticeship programs or licensure to regulated professions, or seeking admission to college or university * employers * World Education Profiles -- guidance counsellors, educators",English ; French,"Algoma, Barrie & Area, Brampton, Brant, Burlington, Caledon, Cambridge, Chatham â Kent, Cochrane, Collingwood & Area, Dufferin County, Durham Region, East York, Elgin, Etobicoke, Frontenac & Kingston, Grey and Bruce, Guelph, Haldimand Norfolk, Haliburton, Halton, Hamilton, Hastings, Huron and Perth, Kawartha Lakes, Kenora District, Kitchener-Waterloo, Lanark, Leeds & Grenville, Lennox & Addington, London and Middlesex, Malton, Manitoulin/Sudbury, Midland, Penetanguishene & Area, Mississauga, Muskoka, Niagara, Nipissing, North Lanark/North Grenville, North York, Northumberland, Orillia & Area, Ottawa, Oxford and Norfolk, Parry Sound, Peterborough, Prescott/Russell, Prince Edward, Rainy River District, Renfrew County, Rural Wellington, Sarnia â Lambton, Scarborough, South Simcoe, Stormont/Dundas/Glengarry, Thunder Bay City, Thunder Bay District, Timiskaming, Toronto, Trent Hills, Windsor â Essex, Woodbridge, York - Toronto, York Region"
Employment and Training Centre - Connections Program,St Stephen's Community House,416-925-2103 ext 4221,416-537-4469,infoETC@sschTO.ca,www.jobhouse.ca,"1415 Bathurst St, Ste 100",Mon-Fri 9 am-5 pm,Stefanos Habtu - Coordinator,,None,Call or visit the website,Newcomers receiving Ontario Works benefits,English ; Italian ; Spanish ; Portuguese ; Japanese ; Chinese (Mandarin) ; Amharic ; Chinese (Cantonese) ; Tigrinya,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Immigrant Services,WoodGreen Community Services,416-645-6000 ext 2100/2200,416-469-2853,newcomerinfo@woodgreen.org,www.woodgreen.org,"815 Danforth Ave, Ste 300","Mon-Thu 9 am-5 pm, Fri 9 am-12:30 pm * some evening and Saturday programs",Sevgul Topkara Sarsu - Manager of Settlement Services,"Settlement services -- orientation, integration * counselling * information and referral * newcomer workshops * worker and parent network support groups * Muslim young women's group * financial",None,Call for appointment or drop in,Newcomers (immigrants and refugees) * Mentorship for Internationally Trained Professionals -- foreign-trained professionals who are landed immigrants or Convention refugees,English ; French ; Greek ; Italian ; German ; Spanish ; Polish ; Hungarian ; Arabic ; Punjabi ; Serbian ; Ukrainian ; Portuguese ; Japanese ; Russian ; Urdu ; Bengali ; Hindi ; Gujarati ; Filipino ; Chinese (Mandarin) ; Farsi ; Tamil ; Albanian ; Armenian ; Belorussian ; Chinese (Cantonese) ; Czech ; Turkish ; Vietnamese,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Building Aboriginal Women's Leadership,Ontario Native Women's Association,807-623-3442,,bawl@onwa.ca,www.onwa.ca,380 Ray Blvd,Mon-Fri 9am-5pm,,"Leadership skills development training, including facilitation skills, board development training, and financial literacy",,,Aboriginal women and their families,English,Ontario
Canada. Service Canada,,,,,www.servicecanada.gc.ca,,Mon-Fri 8am-5pm,,Government information and resource centre providing in-person service for federal programs and benefits,Free,Call or visit local office * no referral required,,English ; French,Canada
Employment Services,Canada. Employment and Social Development Canada,,,,www.esdc.gc.ca,140 Promenade du Portage,Mon-Fri 8am-5pm,,Online tools for career planning * student and youth employment services,Free for most services,Call or drop-in at a local Service Canada Office * no referral required,Canadian residents,English ; French,Canada
